Title,URL,Databases,Non-Relational Databases,Python,R (Programming Language),JavaScript,Java,PHP,HTML,Spreadsheets,VBA,SAS,SAP,SPSS,Tableau,Power BI,Qlik,Power Point,ETL,Databricks,Snowflake,Google Analytics,Statisticts/Mathematics,Linux,Version Control Systems
"Traffic Data Analyst, Express Lanes - 100% Onsite",https://www.indeed.com/viewjob?jk=1b6e250b965ff079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business Analyst,https://www.indeed.com/viewjob?jk=2301fb49134b42fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIM Data Analyst,https://www.indeed.com/viewjob?jk=3c263a946288d406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sr Analyst, Data Analytics and Reporting",https://www.indeed.com/viewjob?jk=c73b310b19f927cb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Senior Marketing Data Analyst,https://www.indeed.com/viewjob?jk=c939b5f152e57dab,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Analyst,https://www.indeed.com/viewjob?jk=9b05ca2da987b16d,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Analyst,https://www.indeed.com/viewjob?jk=eb2fab671520b2fd,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Neuroimaging Data Analyst Junior (Department of Neuropsychiatry),https://www.indeed.com/viewjob?jk=612638c61d0123a2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EBO Data Analyst,https://www.indeed.com/viewjob?jk=e28fcde583369827,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT Data Analyst,https://www.indeed.com/viewjob?jk=86ddf8f4113e87e0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
