cols,rows,inserted_rows,start_op,end_op,time_diff,operation
1,103500,4500,2023-02-03 07:42:08.209734,2023-02-03 07:42:08.209734,0.0,SELECT
1,108100,4600,2023-02-03 07:42:08.218684,2023-02-03 07:42:08.442857,0.224173,INSERT
1,108100,4600,2023-02-03 07:42:08.451833,2023-02-03 07:42:08.451833,0.0,SELECT
1,112800,4700,2023-02-03 07:42:08.459811,2023-02-03 07:42:08.688769,0.228958,INSERT
1,112800,4700,2023-02-03 07:42:08.696751,2023-02-03 07:42:08.696751,0.0,SELECT
1,117600,4800,2023-02-03 07:42:08.705753,2023-02-03 07:42:08.935113,0.22936,INSERT
1,117600,4800,2023-02-03 07:42:08.944090,2023-02-03 07:42:08.944090,0.0,SELECT
1,122500,4900,2023-02-03 07:42:08.953066,2023-02-03 07:42:09.185444,0.232378,INSERT
1,122500,4900,2023-02-03 07:42:09.194420,2023-02-03 07:42:09.194420,0.0,SELECT
2,100,100,2023-02-03 07:42:09.204421,2023-02-03 07:42:09.210403,0.005982,INSERT
2,100,100,2023-02-03 07:42:09.212398,2023-02-03 07:42:09.213396,0.000998,SELECT
2,300,200,2023-02-03 07:42:09.214394,2023-02-03 07:42:09.225337,0.010943,INSERT
2,300,200,2023-02-03 07:42:09.227332,2023-02-03 07:42:09.227332,0.0,SELECT
2,600,300,2023-02-03 07:42:09.229326,2023-02-03 07:42:09.245283,0.015957,INSERT
2,600,300,2023-02-03 07:42:09.246281,2023-02-03 07:42:09.246281,0.0,SELECT
2,1000,400,2023-02-03 07:42:09.248276,2023-02-03 07:42:09.268222,0.019946,INSERT
2,1000,400,2023-02-03 07:42:09.270217,2023-02-03 07:42:09.270217,0.0,SELECT
2,1500,500,2023-02-03 07:42:09.272212,2023-02-03 07:42:09.297146,0.024934,INSERT
2,1500,500,2023-02-03 07:42:09.298142,2023-02-03 07:42:09.299140,0.000998,SELECT
2,2100,600,2023-02-03 07:42:09.300137,2023-02-03 07:42:09.332052,0.031915,INSERT
2,2100,600,2023-02-03 07:42:09.334047,2023-02-03 07:42:09.334047,0.0,SELECT
2,2800,700,2023-02-03 07:42:09.336041,2023-02-03 07:42:09.370948,0.034907,INSERT
2,2800,700,2023-02-03 07:42:09.372943,2023-02-03 07:42:09.372943,0.0,SELECT
2,3600,800,2023-02-03 07:42:09.374937,2023-02-03 07:42:09.415828,0.040891,INSERT
2,3600,800,2023-02-03 07:42:09.416825,2023-02-03 07:42:09.416825,0.0,SELECT
2,4500,900,2023-02-03 07:42:09.418820,2023-02-03 07:42:09.467110,0.04829,INSERT
2,4500,900,2023-02-03 07:42:09.469104,2023-02-03 07:42:09.469104,0.0,SELECT
2,5500,1000,2023-02-03 07:42:09.471099,2023-02-03 07:42:09.523820,0.052721,INSERT
2,5500,1000,2023-02-03 07:42:09.525804,2023-02-03 07:42:09.525804,0.0,SELECT
2,6600,1100,2023-02-03 07:42:09.527810,2023-02-03 07:42:09.582636,0.054826,INSERT
2,6600,1100,2023-02-03 07:42:09.584631,2023-02-03 07:42:09.584631,0.0,SELECT
2,7800,1200,2023-02-03 07:42:09.586625,2023-02-03 07:42:09.647463,0.060838,INSERT
2,7800,1200,2023-02-03 07:42:09.649457,2023-02-03 07:42:09.649457,0.0,SELECT
2,9100,1300,2023-02-03 07:42:09.651453,2023-02-03 07:42:09.718274,0.066821,INSERT
2,9100,1300,2023-02-03 07:42:09.721266,2023-02-03 07:42:09.721266,0.0,SELECT
2,10500,1400,2023-02-03 07:42:09.723260,2023-02-03 07:42:09.799057,0.075797,INSERT
2,10500,1400,2023-02-03 07:42:09.801052,2023-02-03 07:42:09.801052,0.0,SELECT
2,12000,1500,2023-02-03 07:42:09.804377,2023-02-03 07:42:09.886157,0.08178,INSERT
2,12000,1500,2023-02-03 07:42:09.888151,2023-02-03 07:42:09.888151,0.0,SELECT
2,13600,1600,2023-02-03 07:42:09.891143,2023-02-03 07:42:09.975620,0.084477,INSERT
2,13600,1600,2023-02-03 07:42:09.977615,2023-02-03 07:42:09.977615,0.0,SELECT
2,15300,1700,2023-02-03 07:42:09.980606,2023-02-03 07:42:10.081341,0.100735,INSERT
2,15300,1700,2023-02-03 07:42:10.084332,2023-02-03 07:42:10.085330,0.000998,SELECT
2,17100,1800,2023-02-03 07:42:10.089320,2023-02-03 07:42:10.199726,0.110406,INSERT
2,17100,1800,2023-02-03 07:42:10.202717,2023-02-03 07:42:10.202717,0.0,SELECT
2,19000,1900,2023-02-03 07:42:10.205709,2023-02-03 07:42:10.321931,0.116222,INSERT
2,19000,1900,2023-02-03 07:42:10.325920,2023-02-03 07:42:10.326918,0.000998,SELECT
2,21000,2000,2023-02-03 07:42:10.329908,2023-02-03 07:42:10.446138,0.11623,INSERT
2,21000,2000,2023-02-03 07:42:10.449129,2023-02-03 07:42:10.450126,0.000997,SELECT
2,23100,2100,2023-02-03 07:42:10.453118,2023-02-03 07:42:10.563394,0.110276,INSERT
2,23100,2100,2023-02-03 07:42:10.566385,2023-02-03 07:42:10.566385,0.0,SELECT
2,25300,2200,2023-02-03 07:42:10.569378,2023-02-03 07:42:10.678275,0.108897,INSERT
2,25300,2200,2023-02-03 07:42:10.681267,2023-02-03 07:42:10.682264,0.000997,SELECT
2,27600,2300,2023-02-03 07:42:10.685256,2023-02-03 07:42:10.799296,0.11404,INSERT
2,27600,2300,2023-02-03 07:42:10.802288,2023-02-03 07:42:10.802288,0.0,SELECT
2,30000,2400,2023-02-03 07:42:10.805280,2023-02-03 07:42:10.926955,0.121675,INSERT
2,30000,2400,2023-02-03 07:42:10.930944,2023-02-03 07:42:10.930944,0.0,SELECT
2,32500,2500,2023-02-03 07:42:10.933936,2023-02-03 07:42:11.059601,0.125665,INSERT
2,32500,2500,2023-02-03 07:42:11.063590,2023-02-03 07:42:11.063590,0.0,SELECT
2,35100,2600,2023-02-03 07:42:11.067579,2023-02-03 07:42:11.197232,0.129653,INSERT
2,35100,2600,2023-02-03 07:42:11.201221,2023-02-03 07:42:11.201221,0.0,SELECT
2,37800,2700,2023-02-03 07:42:11.205211,2023-02-03 07:42:11.343841,0.13863,INSERT
2,37800,2700,2023-02-03 07:42:11.347829,2023-02-03 07:42:11.347829,0.0,SELECT
2,40600,2800,2023-02-03 07:42:11.351819,2023-02-03 07:42:11.499424,0.147605,INSERT
2,40600,2800,2023-02-03 07:42:11.503414,2023-02-03 07:42:11.503414,0.0,SELECT
2,43500,2900,2023-02-03 07:42:11.507403,2023-02-03 07:42:11.657003,0.1496,INSERT
2,43500,2900,2023-02-03 07:42:11.660992,2023-02-03 07:42:11.660992,0.0,SELECT
2,46500,3000,2023-02-03 07:42:11.665979,2023-02-03 07:42:11.819108,0.153129,INSERT
2,46500,3000,2023-02-03 07:42:11.824095,2023-02-03 07:42:11.824095,0.0,SELECT
2,49600,3100,2023-02-03 07:42:11.828084,2023-02-03 07:42:11.985663,0.157579,INSERT
2,49600,3100,2023-02-03 07:42:11.990650,2023-02-03 07:42:11.990650,0.0,SELECT
2,52800,3200,2023-02-03 07:42:11.994639,2023-02-03 07:42:12.158422,0.163783,INSERT
2,52800,3200,2023-02-03 07:42:12.163408,2023-02-03 07:42:12.163408,0.0,SELECT
2,56100,3300,2023-02-03 07:42:12.168395,2023-02-03 07:42:12.335947,0.167552,INSERT
2,56100,3300,2023-02-03 07:42:12.341931,2023-02-03 07:42:12.341931,0.0,SELECT
2,59500,3400,2023-02-03 07:42:12.346918,2023-02-03 07:42:12.522327,0.175409,INSERT
2,59500,3400,2023-02-03 07:42:12.527314,2023-02-03 07:42:12.527314,0.0,SELECT
2,63000,3500,2023-02-03 07:42:12.533298,2023-02-03 07:42:12.729994,0.196696,INSERT
2,63000,3500,2023-02-03 07:42:12.736976,2023-02-03 07:42:12.737973,0.000997,SELECT
